epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.4619956393589211,0.867953431372549,0.32768025140519275,0.8898026315789473,5e-05
2,0.27279303781003417,0.9237132352941176,0.3350138479708697,0.90625,4.9806810182204715e-05
3,0.16342276065552142,0.953125,0.25767193042540626,0.9243421052631579,4.9230287447651464e-05
4,0.11257327328883762,0.9712009803921569,0.24599859518748102,0.9391447368421053,4.827952390426216e-05
5,0.07107513086606666,0.9800857843137255,0.36605367820919904,0.9325657894736842,4.696951366107466e-05
6,0.05064239765449523,0.9862132352941176,0.3558504530717917,0.9342105263157895,4.532091636218621e-05
7,0.05192977002110745,0.9862132352941176,0.36302571248017645,0.9358552631578947,4.335973137182458e-05
8,0.03928616118018039,0.9911151960784313,0.3740520786781728,0.9358552631578947,4.111688774884289e-05
9,0.025765420110666487,0.9938725490196079,0.3786868464322857,0.9457236842105263,3.862775647698541e-05
10,0.0328319062962195,0.9920343137254902,0.4212762769362474,0.9407894736842105,3.5931592643344276e-05
11,0.031285786837926405,0.992953431372549,0.52929940925205,0.9342105263157895,3.3070916362186205e-05
12,0.012438371290555347,0.9966299019607843,0.4557856581014902,0.9391447368421053,3.0090842207350255e-05
13,0.016125471815239073,0.9957107843137255,0.43371478374217,0.9391447368421053,2.703836772846818e-05
14,0.016205155163010843,0.9963235294117647,0.40467791490829336,0.9424342105263158,2.3961632271531826e-05
15,0.01266920084118366,0.9972426470588235,0.423016424327242,0.9424342105263158,2.090915779264975e-05
16,0.007301708038923232,0.9972426470588235,0.4869234782739649,0.9407894736842105,1.7929083637813798e-05
17,0.0032633895381813088,0.9990808823529411,0.4687549689257737,0.9407894736842105,1.5068407356655722e-05
